  icod ireg urbr txcr jeun age fe90 etra chom crim fisc agri arti cadr empl ouvr prof
46 Lt MiP  1.02  0.032  0.145  0.218  0.222  0.107  0.172  0.118  0.074  0.238  0.237  0.161  2537.8  36.4 44.5
47 LG Aqu  2.02  0.054  0.395  0.238  0.200  0.130  0.140  0.104  0.073  0.248  0.279  0.156  2985.3  45.0 47.2
48 Lz LaR -1.5   0.037  0.000  0.236  0.207  0.080  0.182  0.115  0.070  0.225  0.220  0.189  2441.3  31.2 46.0
49 ML PaL  4.37  0.020  0.418  0.301  0.141  0.111  0.082  0.072  0.084  0.240  0.346  0.176  2819.5  44.0 53.3
50 Mc BNo  3.45  0.008  0.247  0.277  0.161  0.100  0.142  0.083  0.059  0.231  0.311  0.173  2922.1  31.5 56.8
51 Ma ChA  3.07  0.043  0.540  0.283  0.127  0.109  0.072  0.061  0.091  0.256  0.333  0.188  2978.0  55.7 53.1
52 MH ChA -2.84  0.037  0.319  0.276  0.158  0.103  0.071  0.069  0.063  0.243  0.387  0.167  2274.0  40.9 55.5
53 My PaL  2.74  0.008  0.204  0.288  0.158  0.069  0.176  0.070  0.056  0.212  0.340  0.147  3040.2  29.6 53.8
54 MM Lor -0.53  0.060  0.653  0.272  0.132  0.111  0.021  0.062  0.110  0.284  0.304  0.219  2964.5  48.3 52.0
55 Mu Lor -1.87  0.034  0.259  0.277  0.158  0.107  0.084  0.070  0.063  0.245  0.357  0.181  2420.9  52.5 55.5
56 Mh Bre  5.25  0.007  0.260  0.274  0.160  0.121  0.100  0.095  0.073  0.246  0.312  0.175  2607.8  36.5 52.4
57 Mo Lor  0.34  0.087  0.559  0.278  0.118  0.116  0.016  0.057  0.080  0.259  0.377  0.211  2712.8  37.9 52.6
58 Ni Bou -1.71  0.027  0.252  0.233  0.211  0.118  0.081  0.095  0.065  0.251  0.340  0.168  2952.4  43.2 47.6
59 No NPC  0.66  0.054  0.764  0.307  0.122  0.156  0.020  0.066  0.100  0.268  0.338  0.208  3336.4  68.6 60.0
60 Oi Pic  9.89  0.062  0.363  0.306  0.110  0.099  0.022  0.068  0.097  0.253  0.362  0.199  3047.5  48.6 57.3
