"ID";"Label";"Orga.hiero";"Nmbr.Plage.ext";"Decor";"Del.centre";"Datation";"Dm.ext";"Dm.int";"Titre";"Nmbr.hiero";"Nmbr.Symb";"Surface";"Symb";"Hiero";"Titre-Hiero"
"Herbordt2005-26";"H.26";"T-N-T";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";22;16;"Prince";5;3;"Convexe";"Rosette, Griffon.et/ou.Aigle, Rosette, L370-BONUS2, ";"L19-a2, L35-na, L312-VIR, L376-zi/a, L46-REX.FILIUS, ";"L46-REX.FILIUS  "
"Herbordt2005-28";"H.28";"T-N-T";0;"Abs";"Ligne.simple";"Inconnue";19;19;"Fonctionnaire";3;2;"Convexe";"L441-VITA, Rosette,";"L193-LUNA, L107-BOS+MI, L254-EUNUCHUS2, ";"L254-EUNUCHUS2  "
"Herbordt2005-295";"H.295";"Centre";0;"Abs";"Ligne.simple";"Inconnue";17;17;"Fonctionnaire";5;1;"Convexe";"L440-VITA,";"L334-pa, L334-pa, L19-a2, L370-BONUS2, L326-SCRIBA, ";"L370-BONUS2, L326-SCRIBA "
"Herbordt2005-297";"H.297";"Centre";2;"Hieroglyphes.ou.Symbols";"Ligne.simple";"Inconnue";34;15;"Fonctionnaire";4;4;"Etagee";"L441-VITA, Rosette, Nom, Titre, Rosette, Cupule, L370-BONUS2";"L66-pi, L215-ha, L19-a2, L289-AURIGA, ";"L289-AURIGA  "
"Herbordt2005-303";"H.303";"T-N-T";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"Inconnue";30;15;"Fonctionnaire";5;3;"Convexe";"L370-BONUS2, Cupule, Griffon.et/ou.Aigle, L370-BONUS2, ";"L66-pi, L215-ha, L104-sa3, L105-BOS2, L326-SCRIBA, ";"L326-SCRIBA  "
"Herbordt2005-323";"H.323";"T-N-T";0;"Abs";"Aucune";"13e";32;32;"Prince";6;3;"Convexe";"Fleur, Rosette, Griffon.et/ou.Aigle, ";"L66-pi, L90-ti, L80-SARMA, L46-REX.FILIUS, L363-MAGNUS, L326-SCRIBA, ";"L46-REX.FILIUS, L363-MAGNUS, L326-SCRIBA "
"Herbordt2005-336";"H.336";"T-N-T";0;"Abs";"Ligne.simple";"Inconnue";17;17;"Fonctionnaire";5;3;"Convexe";"L441-VITA, Rosette, L370-BONUS2, ";"L328-pu, L434-ka, L35-na, L414-, L390-DOMINUS, ";"L414-, L390-DOMINUS "
"Herbordt2005-346";"H.346";"T-N-T";0;"Abs";"Frise.rectangles";"13e";25;25;"Prince";5;3;"Convexe";"Rosette, L370-BONUS2, Cupule, ";"L104-sa3, L451-hur, L395-nu2, L439-wa/i, L46-REX.FILIUS, ";"L46-REX.FILIUS  "
"Herbordt2005-347";"H.347";"T-N-T";2;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"13e";33;20;"Prince";5;3;"Convexe";"L441-VITA, L370-BONUS2, Cupule L370-BONUS2, L441-VITA, Cupule, ";"L104-sa3, L451-hur, L395-nu2, L439-wa/i, L46-REX.FILIUS, ";"L46-REX.FILIUS  "
"Herbordt2005-351";"H.351";"Doublet";2;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";16;9;"Fonctionnaire";5;4;"Convexe";"L370-BONUS2, Rosette, Arbre L370-BONUS2, Rosette, Griffon.et/ou.Aigle, Arbre, ";"L270-SUPER, L383-ra/i, L209-i(a), L254-EUNUCHUS2, L135.2-, ";"L254-EUNUCHUS2, L135.2- "
"Herbordt2005-373";"H.373";"T-N-T";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"Inconnue";28;16;"Fonctionnaire";8;2;"Convexe";"Rosette, Griffon.et/ou.Aigle, Titre, ";"L104-sa3, L421-us, L434-ka, L103-CERVUS3, L90-ti, L46-REX.FILIUS, L250-MAGNUS.DOMUS, L45-FILIUS, ";"L46-REX.FILIUS, L250-MAGNUS.DOMUS, L45-FILIUS "
"Herbordt2005-381";"H.381";"T-N-T";2;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";26;13;"Fonctionnaire";10;2;"Etagee";"L370-BONUS2, L440-VITA, ";"L104-sa3, L421-us, L434-ka, L103-CERVUS3, L90-ti, L225-URBS, L390-DOMINUS, L35-, L196-HATTI, L225-URBS";"L225-URBS, L390-DOMINUS, L35-, L196-HATTI, L225-URBS"
"Herbordt2005-40";"H.40";"T-N-T";0;"Abs";"Frise.rectangles";"Inconnue";18;18;"Fonctionnaire";5;0;"Convexe";;"L193-LUNA, L276-FRATER2, L338-CULTER, L370-BONUS2, L386-VIR2, ";"L338-CULTER, L370-BONUS2, L386-VIR2 "
"Herbordt2005-400";"H.400";"T-N-T";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"13e";35;22;"Prince";6;1;"Convexe";"Nom, ";"L29-ta2, L446-ki, L80-SARMA, L46-REX.FILIUS, L363-MAGNUS, L326-SCRIBA, ";"L46-REX.FILIUS, L363-MAGNUS, L326-SCRIBA "
"Herbordt2005-408";"H.408";"Doublet";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";20;13;"Fonctionnaire";5;1;"Plate";"L440-VITA, ";"L115-LEPUS, L383-ra/i, L391-ma/i, L370-BONUS2, L326-SCRIBA, ";"L370-BONUS2, L326-SCRIBA"
"Herbordt2005-41";"H.41";"T-N-T";1;"Hieroglyphes.et/ou.Symbols";"Frise.rectangles";"Inconnue";28;20;"Prince";3;2;"Convexe";"Rosette, L370-BONUS2, ";"L193-LUNA, L276-FRATER2, L46-REX.FILIUS, ";"L46-REX.FILIUS  "
"Herbordt2005-43";"H.43";"T-N-T";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";20;13;"Prince";4;2;"Convexe";"Griffon.et/ou.Aigle, Rosette, Titre, ";"L193-LUNA, L276-FRATER2, L46-REX.FILIUS, L326-SCRIBA, ";"L46-REX.FILIUS, L326-SCRIBA"
"Herbordt2005-46";"H.46";"T-N-T";0;"Abs";"Ligne.simple";"Inconnue";23;23;"Prince";5;1;"Convexe";"L441-VITA, ";"L193-LUNA, L276-FRATER2, L46-REX.FILIUS, L326-SCRIBA, Deux, ";"L46-REX.FILIUS, L326-SCRIBA, Deux "
"Herbordt2005-474";"H.474";"Atypique";1;"Animal";"Ligne.simple";"Inconnue";18;9;"Fonctionnaire";6;3;"Convexe";"Rosette, Cupule, Griffon.et/ou.Aigle, ";"L88-tu, L439-wa/i, L383-ra/i, L104-sa3, L370-BONUS2, L326-SCRIBA, ";"L370-BONUS2, L326-SCRIBA"
"Herbordt2005-476";"H.476";"Centre";1;"Hieroglyphes.et/ou.Symbols";"Ligne.simple";"Inconnue";17;8;"Fonctionnaire";6;2;"Convexe";"Rosette, Cupule, ";"L88-tu, L439-wa/i, L383-ra/i, L104-sa3, L370-BONUS2, L326-SCRIBA, ";"L370-BONUS2, L326-SCRIBA"
"Herbordt2005-491";"H.491";"Atypique";1;"Hieroglyphes.ou.Symbols";"Ligne.simple";"Inconnue";29;"16.5";"Fonctionnaire";5;2;"Convexe";"L441-VITA, Fleur, Titre, Nom, ";"L105-BOS, L423-ku, L383-ra/i, L326-SCRIBA, Deux, ";"L326-SCRIBA, Deux"
"Herbordt2005-494";"H.494";"Atypique";0;"Abs";"Ligne.simple";"13e";22;22;"Fonctionnaire";8;4;"Convexe";"L441-VITA, Rosette, L370-BONUS2 , ";"L105-BOS, L423-ku, L383-ra/i, L130-AVIS3, L363-MAGNUS, L326-SCRIBA, L269-EXERCITUS, Deux";"L130-AVIS3, L363-MAGNUS, L326-SCRIBA, L269-EXERCITUS, Deux"
"Herbordt2005-501";"H.501";"Atypique";0;"Abs";"Frise.rectangles";"13e";20;20;"Fonctionnaire";3;2;"Convexe";"Rosette, L370-BONUS2, Frise.rectangles, ";"L363-MAGNUS, L97-LEO, G149-AURIGA2, ";"G149-AURIGA2  "
